,title,sub_title,brand,color_breif,fullPrice,currentPrice,country,availability,publish_date,created_date,discount_amount,asof_date
0,Nike Go FlyEase,Easy On/Off Shoes,Nike Sportswear,Black/White,114.95,114.95,GB,True,2022-09-13T08:44:00.000Z,2023-04-13T15:10:39.580Z,0.0,2023-04-16
1,Nike Air Force 1 '07,Men's Shoes,Nike Sportswear,White/White,109.95,109.95,GB,True,2020-07-20T22:00:00.000Z,2023-04-06T05:41:20.507Z,0.0,2023-04-16
2,Nike Air Force 1 '07,Men's Shoes,Nike Sportswear,White/White/Wolf Grey,109.95,109.95,GB,True,2022-12-16T08:00:00.000Z,2023-04-15T07:31:47.750Z,0.0,2023-04-16
3,Nike Dunk Low,Men's Shoes,Nike Sportswear,Midnight Navy/Summit White/White/Light Smoke Grey,109.95,109.95,GB,True,2023-01-30T15:26:00.000Z,2023-04-06T06:56:18.880Z,0.0,2023-04-16
4,Nike Air Max Plus,Men's Shoes,Nike Sportswear,Black/Black/Black,169.95,169.95,GB,True,2012-06-30T22:00:00.000Z,2023-04-11T21:39:18.716Z,0.0,2023-04-16
5,Nike Air Max Alpha Trainer 5,Men's Training Shoes,Nike,Black/Black/White,72.95,51.47,GB,True,2022-06-29T12:48:00.000Z,2023-04-15T08:05:45.473Z,21.480000000000004,2023-04-16
6,Nike Air Max Excee,Men's Shoe,Nike Sportswear,Black/Dark Grey/Black,109.95,54.97,GB,True,2022-11-01T08:00:00.000Z,2023-04-13T18:24:45.316Z,54.980000000000004,2023-04-16
7,Nike Air Force 1 '07,Men's shoes,Nike Sportswear,White/Picante Red/Wolf Grey,114.95,114.95,GB,True,2023-01-03T08:00:00.000Z,2023-04-13T11:22:19.952Z,0.0,2023-04-16
8,Nike Dunk Low By You,Custom Men's Shoes,Nike Sportswear,Multi-Colour/Multi-Colour,114.95,114.95,GB,True,2022-03-01T17:00:00.000Z,2023-04-12T22:38:03.863Z,0.0,2023-04-16
9,Nike Dunk Low By You,Custom Men's Shoes,Nike Sportswear,Multi-Colour/Multi-Colour,114.95,114.95,GB,True,2022-03-01T17:00:00.000Z,2023-04-12T22:38:04.012Z,0.0,2023-04-16
